Source page: http://www.encyclopedia-titanica.org/titanic-victims/,
col_image,col_image/_alt,name_link,name_link/_text,name_link/_title,age_link,age_link/_text,age_link/_title,classdept_link,classdept_link/_text,classdept_link/_title,joined_link,joined_link/_text,joined_link/_title,job_link,job_link/_text,job_link/_title,boatbody_links,boatbody_links/_text,boatbody_links/_title,age_link_numbers,classdept_value,ticket_values,ticket_values_prices
"http://www.encyclopedia-titanica.org/images/andersson_iam_thm.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/ida-augusta-margareta-andersson.html","ANDERSSON, Miss Ida Augusta Margareta","","http://www.encyclopedia-titanica.org/titanic-ages/38.html","38","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","38","","347091; £7 15s 6d","7"
"","","http://www.encyclopedia-titanica.org/titanic-victim/anders-andersson.html","ANDERSSON, Mr Anders Johan","","http://www.encyclopedia-titanica.org/titanic-ages/39.html","39","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/general-labourer.html","General Labourer","","","","","39","","347082; £31 5s 6d","31"
"","","http://www.encyclopedia-titanica.org/titanic-victim/alfrida-konstantia-brogren-andersson.html","ANDERSSON, Mrs Alfrida Konstantia Brogren","","http://www.encyclopedia-titanica.org/titanic-ages/39.html","39","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","39","","347082; £31 5s 6d","31"
"","","http://www.encyclopedia-titanica.org/titanic-victim/sigrid-elisabeth-andersson.html","ANDERSSON, Miss Sigrid Elisabeth","","http://www.encyclopedia-titanica.org/titanic-ages/11.html","11","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","11","","347082; £31 5s 6d","31"
"","","http://www.encyclopedia-titanica.org/titanic-victim/ingeborg-constanzia-andersson.html","ANDERSSON, Miss Ingeborg Constanzia","","http://www.encyclopedia-titanica.org/titanic-ages/9.html","9","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","9","","347082; £31 5s 6d","31"
"","","http://www.encyclopedia-titanica.org/titanic-victim/ebba-iris-alfrida-andersson.html","ANDERSSON, Miss Ebba Iris Alfrida","","http://www.encyclopedia-titanica.org/titanic-ages/6.html","6","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","6","","347082; £31 5s 6d","31"
"","","http://www.encyclopedia-titanica.org/titanic-victim/sigvard-harald-elias-andersson.html","ANDERSSON, Master Sigvard Harald Elias","","http://www.encyclopedia-titanica.org/titanic-ages/4.html","4","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","4","","347082; £31 5s 6d","31"
"","","http://www.encyclopedia-titanica.org/titanic-victim/ellis-anna-maria-andersson.html","ANDERSSON, Miss Ellis Anna Maria","","http://www.encyclopedia-titanica.org/titanic-ages/2.html","2","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","2","","347082; £31 5s 6d","31"
"","","http://www.encyclopedia-titanica.org/titanic-victim/paul-edvin-andreasson.html","ANDREASSON, Mr Paul Edvin","","http://www.encyclopedia-titanica.org/titanic-ages/20.html","20","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/general-labourer.html","General Labourer","","","","","20","","347466; £7 17s 1d","7"
"http://www.encyclopedia-titanica.org/images/samuel_es_thm.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/edgar-samuel-andrew.html","ANDREW, Mr Edgar Samuel","","http://www.encyclopedia-titanica.org/titanic-ages/17.html","17","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","17","","231945; £11 10s","11"
